#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2005Y   UGC 1159         2005 01 31  01 37.6 +00 02    3E   5N  18.8   IAUC 8476       01 37 37.29 +00 02 29.8   IAUC 8476        II    2005Y   Lick Observatory Supernova Survey
2005X   Anon.            2005 01 24  12 24.0 +07 47    2E   2N  17.5   IAUC 8476       12 24 00.75 +07 46 38.9   IAUC 8476        Ia    2005X   Lick Observatory Supernova Survey
2005W   NGC 691          2005 02 01  01 50.8 +21 46   56E   1S  15.2   IAUC 8475       01 50 45.75 +21 45 35.6   IAUC 8475        Ia    2005W   Hirose
2005V   NGC 2146         2005 01 30  06 18.6 +78 21    2E   3N  16     IAUC 8474       06 18 38.28 +78 21 28.8   IAUC 8474        Ib/c  2005V   Mattila et al., Nuclear Supernova Search
2005U   Anon.            2005 01 30  11 28.6 +58 34    4W   5S  16.2   IAUC 8473       11 28 33.22 +58 33 42.5   IAUC 8473        II    2005U   Mattila et al., Nuclear Supernova Search
2005T   IC 4423          2005 01 24  14 26.3 +26 15    7W   1N  18.4   IAUC 8473       14 26 17.24 +26 14 47.8   IAUC 8473        II    2005T   Lick Observatory Supernova Survey
2005S   UGC 9037         2005 01 22  14 08.5 +07 03    6W   1S  19.1   IAUC 8473       14 08 28.84 +07 03 27.2   IAUC 8473        Ia    2005S   Lick Observatory Supernova Survey
2005R   UGC 6274         2005 01 13  11 14.9 +33 50    1W   3N  17.4   IAUC 8473       11 14 56.81 +33 49 35.7   IAUC 8473        IIn   2005R   Boles
2005Q   ESO 244-G31      2005 01 28  01 30.1 -42 41   22W  20N  17.2   IAUC 8473       01 30 03.51 -42 40 48.4   IAUC 8473        II    2005Q   Monard
2005P   NGC 5468         2005 01 21  14 06.6 -05 28   13W  32S  18.1   IAUC 8472       14 06 34.01 -05 27 42.6   IAUC 8472        ?     2005P   Lick Observatory Supernova Survey
2005O   NGC 3340         2005 01 16  10 42.3 -00 23    5E   5S  16.1   IAUC 8471       10 42 18.32 -00 22 41.2   IAUC 8471        Ib    2005O   Chen
2005N   NGC 5420         2005 01 19  14 04.0 -14 38   39E  48S  18.8   IAUC 8470       14 04 02.61 -14 37 48.8   IAUC 8470        Ib/c  2005N   Lick Observatory Supernova Survey
2005M   NGC 2930         2005 01 19  09 37.5 +23 12    7W  11S  18.8   IAUC 8470       09 37 32.36 +23 12 02.7   IAUC 8470        Ia    2005M   Puckett, George
2005L   MCG +07-33-5     2005 01 15  15 53.4 +39 23    5E   3S  18.2   IAUC 8469       15 53 25.92 +39 23 08.1   IAUC 8469        ?     2005L   Boles
2005K   NGC 2923         2005 01 15  09 36.1 +16 46    7E  10N  17.8   IAUC 8468       09 36 04.31 +16 45 46.8   IAUC 8468        II    2005K   Trondal, Schwartz
2005J   NGC 4012         2005 01 16  11 58.5 +10 01   14E   7S  16.5   IAUC 8467       11 58 28.54 +10 01 09.2   IAUC 8467        II    2005J   Trondal, Schwartz
2005I   IC 983           2005 01 15  14 10.0 +17 43   21W  40S  18.4   IAUC 8467       14 10 02.86 +17 43 22.4   IAUC 8467        II    2005I   Lick Observatory Supernova Survey
2005H   NGC 838          2005 01 15  02 09.6 -10 09    0E   2N  15.9   IAUC 8467       02 09 38.52 -10 08 43.6   IAUC 8467        II    2005H   Lick Observatory Supernova Survey
2005G   UGC 8690         2005 01 14  13 44.5 +04 47   13W  12N  16.5   IAUC 8465       13 44 32.79 +04 46 44.3   IAUC 8465        Ia    2005G   Lick Observatory Supernova Survey
2005F   MCG +02-23-27    2005 01 13  09 04.9 +13 34   52E  14N  17.7   IAUC 8465       09 04 53.68 +13 33 56.3   IAUC 8465        Ia    2005F   Lick Observatory Supernova Survey
2005E   NGC 1032         2005 01 13  02 39.2 +01 06  139W  19N  16.8   IAUC 8465       02 39 14.34 +01 05 55.0   IAUC 8465        Ib/c  2005E   Lick Observatory Supernova Survey
2005D   UGC 3856         2005 01 13  07 27.0 +20 23    5E  38N  18.4   IAUC 8464       07 26 57.36 +20 22 53.4   IAUC 8464        IIb   2005D   Lick Observatory Supernova Survey
2005C   Anon.            2005 01 11  11 15.5 +60 45    3W  11N  18.4   IAUC 8463       11 15 29.42 +60 45 05.5   IAUC 8463        Ib?   2005C   Boles
2005B   UGC 11066        2005 01 12  17 54.8 +71 33   18W  10N  18.0   IAUC 8462       17 54 48.72 +71 32 34.5   IAUC 8462        ?     2005B   Lane, Gray; Boles
2005A   NGC 958          2005 01 05  02 30.7 -02 56    8E   1N  17.1   IAUC 8459       02 30 43.25 -02 56 19.8   IAUC 8459        Ia    2005A   Lick Observatory Supernova Survey

2004iq  IRAS 17138-1017  2004 09 23  17 16.6 -10 21    2E   1N  18.3   CBET 1569       17 16 35.90 -10 20 37.8   CBET 1569        ?     2004iq  Kankare, Mattila et al.
2004ip  Anon.            2004 09 13  18 32.7 -34 11    1E   1N  18.7   CBET 858        18 32 41.26 -34 11 26.7   CBET  858        ?     2004ip  Mattila et al.
2004io  Anon.            2004 11 03  21 23.6 -00 28             19.7   IAUC 8481       21 23 37.39 -00 28 00.6   IAUC 8481        Ia    2004io  Frieman, SDSS Collaboration
2004in  Anon.            2004 11 03  01 30.4 +00 42             20.3   IAUC 8481       01 30 26.06 +00 41 32.3   IAUC 8481        Ia    2004in  Frieman, SDSS Collaboration
2004im  Anon.            2004 11 03  23 43.1 -00 08             19.8   IAUC 8481       23 43 07.78 -00 07 55.5   IAUC 8481        Ia    2004im  Frieman, SDSS Collaboration
2004il  Anon.            2004 11 03  03 07.0 -00 01             19.5   IAUC 8481       03 07 02.69 -00 00 40.1   IAUC 8481        Ia    2004il  Frieman, SDSS Collaboration
2004ik  Anon.            2004 11 05  01 44.9 -00 06             21.3   IAUC 8481       01 44 55.51 -00 05 58.1   IAUC 8481        Ia    2004ik  Frieman, SDSS Collaboration
2004ij  Anon.            2004 11 05  01 21.2 -00 55             21.3   IAUC 8481       01 21 11.54 -00 55 09.2   IAUC 8481        Ia    2004ij  Frieman, SDSS Collaboration
2004ii  Anon.            2004 11 03  00 16.9 -00 25             20.7   IAUC 8481       00 16 51.80 -00 24 56.9   IAUC 8481        Ia    2004ii  Frieman, SDSS Collaboration
2004ih  Anon.            2004 10 16  02 15.9 +01 04             20.0   IAUC 8481       02 15 54.31 +01 04 09.9   IAUC 8481        Ia    2004ih  Frieman, SDSS Collaboration
2004ig  Anon.            2004 10 16  00 05.9 -01 00             20.6   IAUC 8481       00 05 51.79 -00 59 45.1   IAUC 8481        Ia    2004ig  Frieman, SDSS Collaboration
2004if  Anon.            2004 10 08  22 39.1 -00 52             21.5   IAUC 8481       22 39 08.54 -00 51 54.6   IAUC 8481        Ia    2004if  Frieman, SDSS Collaboration
2004ie  Anon.            2004 10 10  22 01.8 +01 14             17.5   IAUC 8481       22 01 46.58 +01 14 12.0   IAUC 8481        Ia    2004ie  Frieman, SDSS Collaboration
2004id  Anon.            2004 10 08  00 06.5 -00 28             19.6   IAUC 8481       00 06 29.64 -00 28 22.3   IAUC 8481        Ia    2004id  Frieman, SDSS Collaboration
2004ic  Anon.            2004 10 10  20 40.8 +01 03             20.5   IAUC 8481       20 40 48.05 +01 02 34.2   IAUC 8481        II    2004ic  Frieman, SDSS Collaboration
2004ib  Anon.            2004 10 08  02 40.9 -00 11             20.3   IAUC 8481       02 40 56.40 -00 10 48.3   IAUC 8481        Ic    2004ib  Frieman, SDSS Collaboration
2004ia  Anon.            2004 09 22  02 18.0 -00 34             19.5   IAUC 8481       02 18 02.30 -00 33 32.4   IAUC 8481        Ia    2004ia  Frieman, SDSS Collaboration
2004hz  Anon.            2004 09 24  02 05.0 +00 50             20.1   IAUC 8481       02 05 03.00 +00 50 11.9   IAUC 8481        Ia    2004hz  Frieman, SDSS Collaboration
2004hy  Anon.            2004 09 22  21 06.1 +01 13             20.3   IAUC 8481       21 06 04.25 +01 12 57.0   IAUC 8481        II    2004hy  Frieman, SDSS Collaboration
2004hx  Anon.            2004 09 22  02 41.2 -00 53             17.2   IAUC 8481       02 41 12.60 -00 52 46.0   IAUC 8481        II    2004hx  Frieman, SDSS Collaboration
2004hw  Anon.            2004 09 22  23 51.3 +01 14             20.1   IAUC 8481       23 51 17.35 +01 13 39.4   IAUC 8481        Ia    2004hw  Frieman, SDSS Collaboration
2004hv  Anon.            2004 09 22  23 48.4 +01 04             20.2   IAUC 8481       23 48 25.95 +01 03 50.3   IAUC 8481        II    2004hv  Frieman, SDSS Collaboration
2004hu  Anon.            2004 09 22  01 15.0 +00 16             19.3   IAUC 8481       01 15 02.42 +00 15 42.9   IAUC 8481        Ia    2004hu  Frieman, SDSS Collaboration
2004ht  Anon.            2004 09 22  01 04.8 -00 54             21.1   IAUC 8481       01 04 48.67 -00 53 45.5   IAUC 8481        II    2004ht  Frieman, SDSS collaboration
2004hs  Anon.            2004 12 13  02 09.6 -04 13             23.1   IAUC 8464       02 09 33.69 -04 13 04.0   IAUC 8464        Ia    2004hs  Blondin, ESSENCE
2004hr  Anon.            2004 12 11  01 08.8 +00 01             22.6   IAUC 8464       01 08 48.33 +00 00 49.5   IAUC 8464        Ia    2004hr  Blondin, ESSENCE
2004hq  Anon.            2004 12 09  02 30.3 -08 22             23.1   IAUC 8464       02 30 18.04 -08 22 25.0   IAUC 8464        Ia    2004hq  Blondin, ESSENCE
2004hp  Anon.            2004 12 09  02 09.6 -03 46             22.0   IAUC 8464       02 09 35.52 -03 46 23.5   IAUC 8464        Ia    2004hp  Blondin, ESSENCE
2004ho  Anon.            2004 12 09  02 06.3 -03 52             22.3   IAUC 8464       02 06 16.03 -03 52 27.7   IAUC 8464        II    2004ho  Blondin, ESSENCE
2004hn  Anon.            2004 12 09  01 13.5 +00 37             23.5   IAUC 8464       01 13 32.38 +00 37 15.3   IAUC 8464        Ia    2004hn  Blondin, ESSENCE
2004hm  Anon.            2004 12 07  02 28.1 -07 42             21.5   IAUC 8464       02 28 03.11 -07 42 29.7   IAUC 8464        Ia    2004hm  Blondin, ESSENCE
2004hl  Anon.            2004 12 07  01 13.6 -00 28             22.0   IAUC 8464       01 13 38.17 -00 27 39.0   IAUC 8464        Ia    2004hl  Blondin, ESSENCE
2004hk  Anon.            2004 12 05  23 27.1 -08 39             21.5   IAUC 8464       23 27 04.38 -08 38 45.1   IAUC 8464        Ia    2004hk  Blondin, ESSENCE
2004hj  Anon.            2004 11 20  02 29.7 -08 44             21.5   IAUC 8464       02 29 41.93 -08 43 49.4   IAUC 8464        Ia    2004hj  Blondin, ESSENCE
2004hi  Anon.            2004 11 20  02 08.6 -05 08             22.4   IAUC 8464       02 08 38.82 -05 08 11.7   IAUC 8464        Ia    2004hi  Blondin, ESSENCE
2004hh  Anon.            2004 11 20  02 06.4 -04 38             21.4   IAUC 8464       02 06 25.01 -04 38 04.0   IAUC 8464        Ia    2004hh  Blondin, ESSENCE
2004hg  Anon.            2004 11 16  02 34.9 -08 31             22.7   IAUC 8464       02 34 55.19 -08 30 43.6   IAUC 8464        Ia    2004hg  Blondin, ESSENCE
2004hf  Anon.            2004 11 16  02 32.0 -08 42             22.0   IAUC 8464       02 32 00.14 -08 42 23.8   IAUC 8464        Ia    2004hf  Blondin, ESSENCE
2004he  Anon.            2004 11 14  02 29.8 -08 21             23.0   IAUC 8464       02 29 48.79 -08 20 45.9   IAUC 8464        Ia    2004he  Blondin, ESSENCE
2004hd  Anon.            2004 11 14  02 08.8 -04 26             22.5   IAUC 8464       02 08 48.21 -04 26 10.4   IAUC 8464        Ia    2004hd  Blondin, ESSENCE
2004hc  Anon.            2004 11 12  23 24.5 -08 41             23.3   IAUC 8464       23 24 32.67 -08 41 03.5   IAUC 8464        Ia    2004hc  Blondin, ESSENCE
2004hb  Anon.            2004 11 06  02 08.2 -04 42             23.4   IAUC 8464       02 08 09.70 -04 41 51.8   IAUC 8464        Ia    2004hb  Blondin, ESSENCE
2004ha  Anon.            2004 11 06  02 04.4 -04 53             23.0   IAUC 8464       02 04 27.00 -04 52 46.0   IAUC 8464        Ia    2004ha  Blondin, ESSENCE
2004gz  MCG +10-23-45    2004 12 28  16 13.8 +61 01    1E   2N  16.4   IAUC 8460       16 13 45.71 +61 01 25.9   IAUC 8460        Ia    2004gz  Puckett, Cox
2004gy  Anon.            2004 12 28  13 04.0 +26 14    5W       17.0   IAUC 8460       13 03 58.54 +26 14 03.7   IAUC 8460        II    2004gy  Quimby et al.
2004gx  UGC 12663        2004 12 30  23 33.5 +24 01    7W   5S  17.6   IAUC 8459       23 33 30.80 +24 01 07.0   IAUC 8459        II?   2004gx  Rich
2004gw  Anon.            2004 12 27  05 08.8 +62 26   18E  14S  17.9   IAUC 8459       05 08 48.41 +62 26 20.7   IAUC 8459        Ia    2004gw  Puckett, Ireland
2004gv  NGC 856          2004 12 13  02 13.6 -00 43   14W   4S  17.6   IAUC 8454       02 13 37.42 -00 43 05.8   IAUC 8454        Ib?   2004gv  Chen
2004gu  Anon.            2004 12 13  12 46.4 +11 57    1W   2S  17.5   IAUC 8454       12 46 24.72 +11 56 56.1   IAUC 8454        Ia    2004gu  Quimby, Gerardy, Hoeflich, Wheeler
2004gt  NGC 4038         2004 12 12  12 01.8 -18 52   34W  10S  14.9   IAUC 8454       12 01 50.37 -18 52 12.7   IAUC 8454        Ib/c  2004gt  Monard
2004gs  MCG +03-22-20    2004 12 12  08 38.4 +17 38   10W  13S  17.1   IAUC 8453       08 38 23.18 +17 37 39.8   IAUC 8453        Ia    2004gs  Lick Observatory Supernova Survey
2004gr  NGC 3678         2004 12 11  11 26.3 +27 52    9W   6N  17.9   IAUC 8452       11 26 15.02 +27 52 06.7   IAUC 8452        II    2004gr  Lick Observatory Supernova Survey
2004gq  NGC 1832         2004 12 11  05 12.1 -15 41   22E  22N  15.5   IAUC 8452       05 12 04.81 -15 40 54.2   IAUC 8452        Ib    2004gq  Lick Observatory Supernova Survey; Manzini
2004gp  Anon.            2004 10 19  04 53.6 -68 47    0E   0N  21.0   IAUC 8450       04 53 38.96 -68 47 02.8   IAUC 8450        II    2004gp  Garg, SuperMACHO
2004go  IC 270           2004 11 18  02 55.7 -14 14   35W 106S  16.5   IAUC 8448       02 55 41.76 -14 14 14.5   IAUC 8448        Ia    2004go  Lick Observatory Supernova Survey
2004gn  NGC 4527         2004 12 01  12 34.2 +02 40   55E  21N  16.6   IAUC 8448       12 34 12.10 +02 39 34.4   IAUC 8448        ?     2004gn  Lick Observatory Supernova Survey
2004gm  MCG -02-33-80    2004 11 30  12 59.7 -14 58   10E   0S  15.9   IAUC 8447       12 59 40.53 -14 58 02.4   IAUC 8447        Ia    2004gm  Lick Observatory Supernova Survey
2004gl  MCG +08-16-31    2004 11 21  08 50.1 +49 15    0W   6S  18.4   IAUC 8446       08 50 04.89 +49 14 43.8   IAUC 8446        Ia    2004gl  Boles
2004gk  IC 3311          2004 11 25  12 25.6 +12 16    2E   3N  13.3   IAUC 8446       12 25 33.23 +12 15 40.1   IAUC 8446        Ic    2004gk  Quimby, Gerardy, Hoeflich, Wheeler
2004gj  IC 701           2004 11 23  11 31.0 +20 28   14W   2S  18.3   IAUC 8445       11 30 59.63 +20 28 06.8   IAUC 8445        IIb   2004gj  Lick Observatory Supernova Survey
2004gi  MCG -05-25-32    2004 11 17  10 39.4 -27 55   21W   5N  14.9   IAUC 8444       10 39 23.34 -27 54 40.0   IAUC 8444        Ia    2004gi  Lick Observatory Supernova Survey
2004gh  MCG -04-25-6     2004 11 16  10 24.5 -23 33    1E   8S  17.6   IAUC 8444       10 24 31.55 -23 33 18.2   IAUC 8444        II    2004gh  Lick Observatory Supernova Survey
2004gg  UGC 5234         2004 11 16  09 46.8 +16 03    6W  11N  18.5   IAUC 8444       09 46 49.10 +16 02 44.5   IAUC 8444        IIp   2004gg  Lick Observatory Supernova Survey
2004gf  UGC 11864        2004 11 20  21 57.9 +42 19   26W  36N  17.2   IAUC 8444       21 57 52.39 +42 18 57.8   IAUC 8444        II    2004gf  Boles
2004ge  UGC 3555         2004 11 17  06 50.0 +25 38    6E   1S  18.3   IAUC 8443       06 50 00.13 +25 38 02.0   IAUC 8443        Ic    2004ge  Lick Observatory Supernova Survey
2004gd  NGC 2341         2004 11 06  07 09.2 +20 36    4W   1N  17.3   IAUC 8443       07 09 11.71 +20 36 10.6   IAUC 8443        IIn   2004gd  Lick Observatory Supernova Survey
2004gc  Anon.            2004 11 18  05 21.8 +06 41    2E   3S  17.4   IAUC 8442       05 21 49.95 +06 40 33.7   IAUC 8442        Ia    2004gc  del Olmo, Martinez, Pedraz, Alises; Trondal, Schwartz
2004gb  Anon.            2004 10 15  04 55.4 -67 31             20.5   IAUC 8439       04 55 22.3  -67 30 44.3   IAUC 8439        Ia    2004gb  Garg, SuperMACHO
2004ga  Anon.            2004 09 11  05 58.2 -71 37   14W   3N  19.7   IAUC 8439       05 58 11.5  -71 37 00.3   IAUC 8439        II    2004ga  Garg, SuperMACHO
2004fz  NGC 783          2004 11 14  02 01.1 +31 53    2W  13S  15.9   IAUC 8437       02 01 06.41 +31 52 44.2   IAUC 8437        Ia    2004fz  Boles; Arbour
2004fy  MCG +15-1-10     2004 11 10  11 41.2 +89 05    9E   6S  17.0   IAUC 8435       11 41 14.96 +89 05 10.6   IAUC 8435        Ia    2004fy  Puckett, Kerns
2004fx  MCG -02-14-3     2004 11 07  05 11.2 -09 24   57E  11S  16.9   IAUC 8431       05 11 11.67 -09 23 31.6   IAUC 8431        II    2004fx  Lick Observatory Supernova Survey
2004fw  UGC 4633         2004 11 06  08 52.2 +52 54    2E   6N  18.3   IAUC 8431       08 52 14.55 +52 53 30.4   IAUC 8431        Ia    2004fw  Puckett, Peoples
2004fv  NGC 6492         2004 11 04  18 02.8 -66 26   12W   5S  14.8   IAUC 8430       18 02 46.38 -66 25 54.7   IAUC 8430        Ia    2004fv  Monard
2004fu  NGC 6949         2004 11 04  20 35.2 +64 48   29E  15N  16.8   IAUC 8428       20 35 11.54 +64 48 25.7   IAUC 8428        Ia    2004fu  Arbour
2004ft  Anon.            2004 10 17  02 33.5 -08 10             22.4   IAUC 8427       02 33 32.63 -08 09 34.1   IAUC 8427        Ia    2004ft  ESSENCE (Foley et al.)
2004fs  Anon.            2004 10 15  02 31.3 -08 49             22.6   IAUC 8427       02 31 19.95 -08 49 21.7   IAUC 8427        Ia    2004fs  ESSENCE (Foley et al.)
2004fr  Anon.            2004 10 15  02 28.6 -08 54             22.2   IAUC 8427       02 28 43.77 -08 54 24.0   IAUC 8427        Ia    2004fr  ESSENCE (Foley et al.)
2004fq  Anon.            2004 10 13  23 27.8 -08 31             21.5   IAUC 8427       23 27 45.64 -08 31 12.8   IAUC 8427        Ia    2004fq  ESSENCE (Foley et al.)
2004fp  Anon.            2004 10 13  02 29.9 -09 01             21.6   IAUC 8427       02 29 53.01 -09 01 16.6   IAUC 8427        II    2004fp  ESSENCE (Foley et al.)
2004fo  Anon.            2004 10 13  01 13.5 +00 35             22.3   IAUC 8427       01 13 28.97 +00 35 16.3   IAUC 8427        Ia    2004fo  ESSENCE (Foley et al.)
2004fn  Anon.            2004 10 11  23 30.3 -09 59             22.5   IAUC 8427       23 30 20.12 -09 58 30.7   IAUC 8427        Ia    2004fn  ESSENCE (Foley et al.)
2004fm  Anon.            2004 10 11  23 27.0 -09 37             22.5   IAUC 8427       23 26 58.14 -09 37 19.4   IAUC 8427        Ia    2004fm  ESSENCE (Foley et al.)
2004fl  Anon.            2004 10 11  23 27.0 -09 37             21.9   IAUC 8427       23 26 57.92 -09 37 19.1   IAUC 8427        Ia    2004fl  ESSENCE (Foley et al.)
2004fk  Anon.            2004 10 11  01 13.6 -00 09             22.9   IAUC 8427       01 13 35.84 -00 09 27.6   IAUC 8427        Ia    2004fk  ESSENCE (Foley et al.)
2004fj  Anon.            2004 10 11  01 09.9 +00 27             22.0   IAUC 8427       01 09 51.07 +00 27 21.0   IAUC 8427        Ia    2004fj  ESSENCE (Foley et al.)
2004fi  Anon.            2004 10 09  23 29.8 -08 55             21.5   IAUC 8427       23 29 45.35 -08 54 36.3   IAUC 8427        Ia    2004fi  ESSENCE (Foley et al.)
2004fh  Anon.            2004 10 09  23 28.5 -08 37             20.9   IAUC 8427       23 28 27.20 -08 36 55.2   IAUC 8427        Ia    2004fh  ESSENCE (Foley et al.)
2004fg  MCG +05-56-7     2004 10 31  23 47.4 +28 23    0E  15S  18.2   IAUC 8425       23 47 24.45 +28 23 22.4   IAUC 8425        Ia    2004fg  Lick Observatory Supernova Survey
2004ff  ESO 552-G40      2004 10 30  04 58.8 -21 34   11W   3S  18.0   IAUC 8425       04 58 46.19 -21 34 12.0   IAUC 8425        Ic    2004ff  Lick Observatory Supernova Survey
